"geo","n_transactions","median_price","detached_share_pct","semi_share_pct","terraced_share_pct","flat_share_pct","newbuild_share_pct"
"THURROCK","2155","345000","10.440835266821345","29.698375870069604","34.94199535962877","20.88167053364269","2.0417633410672855"
"PORTSMOUTH","2887","250000","3.4638032559750607","10.28749567024593","54.97055767232421","26.082438517492207","0.31174229303775547"
"HUNTINGDONSHIRE","3281","320000","38.646754038402925","27.095397744590063","20.207253886010363","9.052118256629077","15.422127400182871"
"MID SUSSEX","2743","425000","28.83703973751367","27.597520962449874","18.77506379876048","18.73860736419978","11.994166970470287"
"HARBOROUGH","1917","339950","50.02608242044862","24.413145539906104","16.327595200834637","5.425143453312468","20.083463745435576"
"BRADFORD","8097","165000","13.498826725947882","33.518587131036185","35.309373842163765","12.572557737433618","7.150796591330122"
"SALFORD","4645","214000","7.255113024757804","26.157158234660926","26.544671689989237","34.48869752421959","17.416576964477933"
"TEST VALLEY","1996","359975","32.21442885771543","24.09819639278557","23.897795591182366","13.376753507014028","5.761523046092185"
"WORTHING","1958","347061","18.590398365679263","22.57405515832482","18.692543411644536","34.93360572012257","3.0132788559754853"
"ST HELENS","2860","175000","16.293706293706293","40.94405594405595","33.35664335664335","4.125874125874126","8.111888111888112"
"UTTLESFORD","1693","455000","44.418192557590075","21.559362079149437","17.365623154164204","8.32841110454814","22.563496751329"
"BATH AND NORTH EAST SOMERSET","2992","393000","19.385026737967916","23.02807486631016","30.18048128342246","21.08957219251337","5.247326203208556"
"TONBRIDGE AND MALLING","2172","404900","24.263351749539595","30.80110497237569","25.87476979742173","13.950276243093922","10.267034990791897"
"WELWYN HATFIELD","1392","425000","18.96551724137931","21.910919540229884","29.74137931034483","23.132183908045977","8.333333333333334"
"HAVANT","1878","322500","27.050053248136315","30.244941427050055","24.494142705005324","14.48349307774228","6.8690095846645365"
"GLOUCESTER","2198","250000","17.97088262056415","34.34940855323021","29.435850773430392","13.284804367606915","5.7779799818016375"
"DACORUM","2118","443750","20.018885741265343","21.29367327667611","32.625118035882906","20.96317280453258","2.691218130311615"
"WAKEFIELD","5591","190000","21.588266857449472","39.65301377213379","28.84993739939188","5.13324986585584","9.533178322303703"
"REIGATE AND BANSTEAD","2385","474950","24.31865828092243","25.366876310272538","16.89727463312369","28.51153039832285","4.737945492662474"
"BROADLAND","2541","299246","41.95198740653286","36.16686343959071","14.285714285714286","3.3451397087760726","18.693427784336876"
"CORNWALL","9853","285000","33.76636557393687","20.186745153760278","26.327007002943265","9.905612503805948","6.272201359991881"
"SOUTH NORFOLK","2592","300000","46.95216049382716","26.003086419753085","16.512345679012345","5.054012345679013","16.743827160493826"
"SURREY HEATH","1374","465000","36.754002911208154","23.799126637554586","15.720524017467248","20.815138282387192","5.385735080058224"
"WEST LINDSEY","1804","219497.5","46.45232815964523","24.83370288248337","20.84257206208426","1.7738359201773837","18.957871396895786"
"HOUNSLOW","2735","468000","2.5228519195612433","20.987202925045704","25.447897623400365","44.89945155393053","8.775137111517367"
